filename,filepath,parse_success,error,title,composer,num_parts,num_measures,actual_measures,num_notes,num_chords,num_rest,num_accidentals,accidental_ratio,pitch_min,pitch_max,pitch_range_semitones,num_large_leaps,large_leap_ratio,max_large_leap_semitones,max_polyphony,duration_quarter_lengths,note_density,chord_ratio,tempo_bpm,time_signatures,key_signature_sharps,no_key_signature,right_hand_single_notes,right_hand_chords,left_hand_single_notes,left_hand_chords,left_hand_melody_range_semitones,left_hand_is_melody,selected
All_Falls_Down__Alan_Walker__m074-081__c002387.musicxml,candidate_musicxml_full_bothhands\All_Falls_Down__Alan_Walker__m074-081__c002387.musicxml,True,,All Falls Down,Alan Walker,2,16,8,54,2,6,0,0.0,F2,G4,26,4,0.08333333333333333,10,3,32.0,1.6875,0.038461538461538464,,4/4,0,True,28,0,22,2,19,False,True
All_Falls_Down__Alan_Walker__m109-116__c001028.musicxml,candidate_musicxml_full_bothhands\All_Falls_Down__Alan_Walker__m109-116__c001028.musicxml,True,,All Falls Down,Alan Walker,2,16,8,45,3,3,0,0.0,F2,C5,31,11,0.3142857142857143,15,4,32.0,1.40625,0.075,,4/4,0,True,23,0,14,3,16,False,True
All_Falls_Down__Alan_Walker__m109-116__c002388.musicxml,candidate_musicxml_full_bothhands\All_Falls_Down__Alan_Walker__m109-116__c002388.musicxml,True,,All Falls Down,Alan Walker,2,16,8,45,3,3,0,0.0,F2,C5,31,11,0.3142857142857143,15,4,32.0,1.40625,0.075,,4/4,0,True,23,0,14,3,16,False,True
Alphabet_Song__ng_An__m001-008__c002523.musicxml,candidate_musicxml_full_bothhands\Alphabet_Song__ng_An__m001-008__c002523.musicxml,True,,Alphabet Song,Đặng An,2,16,8,61,1,0,0,0.0,G2,A4,26,10,0.17543859649122806,12,3,32.0,1.90625,0.016666666666666666,,4/4,0,True,29,0,30,1,14,False,True
Andr_Sonatina_-_Op._34_No._1__Johann_Anton_Andr__m025-032__c002082.musicxml,candidate_musicxml_full_bothhands\Andr_Sonatina_-_Op._34_No._1__Johann_Anton_Andr__m025-032__c002082.musicxml,True,,Sonatina,Johann Anton André,2,16,8,85,6,0,1,0.011764705882352941,G2,F5,34,17,0.23943661971830985,20,3,15.0,5.666666666666667,0.0759493670886076,,2/4,0,True,32,6,41,0,24,False,True
Andr_Sonatina_-_Op._34_No._1__Johann_Anton_Andr__m049-056__c002084.musicxml,candidate_musicxml_full_bothhands\Andr_Sonatina_-_Op._34_No._1__Johann_Anton_Andr__m049-056__c002084.musicxml,True,,Sonatina,Johann Anton André,2,16,8,87,6,0,1,0.011494252873563218,G2,F5,34,14,0.1917808219178082,17,3,16.0,5.4375,0.07407407407407407,,2/4,0,True,33,6,42,0,24,False,True
And_Then_the_Girl_Went_Mad_Ending_Tale_on_a_Moonlit_Night_vocaloid_song_-_intermediate__mothy_Akuno-P_Arr._Lilianialoy__m058-065__c000766.musicxml,candidate_musicxml_full_bothhands\And_Then_the_Girl_Went_Mad_Ending_Tale_on_a_Moonlit_Night_vocaloid_song_-_intermediate__mothy_Akuno-P_Arr._Lilianialoy__m058-065__c000766.musicxml,True,,Fifth Pierrot,mothy/Akuno-P Arr. Lilianialoy,2,16,8,101,8,0,3,0.0297029702970297,A2,A6,48,7,0.08433734939759036,14,3,32.0,3.15625,0.08602150537634409,,4/4,0,True,48,8,37,0,17,False,True
Arabesque__F.Burm_ller__m013-020__c002704.musicxml,candidate_musicxml_full_bothhands\Arabesque__F.Burm_ller__m013-020__c002704.musicxml,True,,Arabesque ,F.Burmüller,2,16,8,61,2,5,6,0.09836065573770492,G#3,A5,25,9,0.16981132075471697,9,4,16.0,3.8125,0.03508771929824561,,2/4,0,True,21,0,34,2,13,False,True
As_A_Dear_2nd_edition__Darian__m001-008__c000719.musicxml,candidate_musicxml_full_bothhands\As_A_Dear_2nd_edition__Darian__m001-008__c000719.musicxml,True,,As A Dear 2nd edition,Darian,2,16,8,49,2,0,0,0.0,F2,D5,33,7,0.16279069767441862,12,3,32.0,1.53125,0.0425531914893617,,4/4,0,True,21,0,24,2,19,False,True
As_A_Dear_2nd_edition__Darian__m006-013__c000720.musicxml,candidate_musicxml_full_bothhands\As_A_Dear_2nd_edition__Darian__m006-013__c000720.musicxml,True,,As A Dear 2nd edition,Darian,2,16,8,55,5,0,0,0.0,G2,D5,31,10,0.23255813953488372,12,4,32.0,1.71875,0.1,,4/4,0,True,18,4,27,1,17,False,True
